============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 4, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2.
 
 index:        2, (  50,   4): (  50,   1) --> (1499,   1), goal index:      662, cost =
 index:        3, (  52,   4): (  52,   1) --> (1499,   1), goal index:      667, cost =
 index:        4, (  54,   4): (  54,   1) --> (1499,   1), goal index:      676, cost =
 index:        5, (  56,   4): (  56,   1) --> (1499,   1), goal index:      678, cost =
 index:        6, (  52,   4): (  52,   1) --> (1499,   1), goal index:      680, cost =
 index:        7, (  54,   4): (  54,   1) --> (1499,   1), goal index:      675, cost =
 index:        8, (  54,   4): (  54,   1) --> (1499,   1), goal index:      683, cost =
 index:        9, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       10, (  56,   4): (  56,   1) --> (1499,   1), goal index:      697, cost =
 index:      970, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1764, cost =
 index:      971, ( 106,   7): ( 106,   4) --> (1499,   1), goal index:     1700, cost =
 index:      972, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1722, cost =
 index:      973, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1741, cost =
 index:      974, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1745, cost =
 index:      975, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1702, cost =
 index:      976, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1723, cost =
 index:      977, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1743, cost =
 index:      978, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1748, cost =
 index:      979, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1746, cost =
 index:      980, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1764, cost =
 index:      981, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1764, cost =
 index:      982, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1767, cost =
 index:      983, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1767, cost =
 index:      984, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1753, cost =
 index:      985, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1756, cost =
 index:      986, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1768, cost =
 index:      987, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1716, cost =
 index:      988, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1735, cost =
 index:      989, ( 106,   7): ( 106,   4) --> (1499,   1), goal index:     1717, cost =
 index:      990, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1740, cost =
 index:      991, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1759, cost =
 index:      992, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1763, cost =
 index:      993, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1764, cost =
 index:      994, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1781, cost =
 index:      995, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1762, cost =
 index:      996, ( 107,   7): ( 107,   4) --> (1499,   1), goal index:     1781, cost =
 index:      997, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1771, cost =
 index:      998, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1769, cost =
 index:      999, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1784, cost =
 index:     1000, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1800, cost =
 index:     1001, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1782, cost =
 index:     1002, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1729, cost =
 index:     1003, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1730, cost =
 index:     1004, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1751, cost =
 index:     1005, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1772, cost =
 index:     1006, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1778, cost =
 index:     1007, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1781, cost =
 index:     1008, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1781, cost =
 index:     1009, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1782, cost =
 index:     1010, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1782, cost =
 index:     1011, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1783, cost =
 index:     1012, ( 106,   4): ( 106,   1) --> (1499,   1), goal index:     1777, cost =
 index:     1013, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1739, cost =
 index:     1014, ( 107,   7): ( 107,   4) --> (1499,   1), goal index:     1742, cost =
 index:     1015, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1770, cost =
 index:     1016, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1786, cost =
 index:     1017, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1784, cost =
 index:     1018, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1792, cost =
 index:     1019, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1809, cost =
 index:     1020, ( 108,   7): ( 108,   4) --> (1499,   1), goal index:     1811, cost =
 index:     1021, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1810, cost =
 index:     1022, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1750, cost =
 index:     1023, ( 107,   7): ( 107,   4) --> (1499,   1), goal index:     1776, cost =
 index:     1024, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1781, cost =
 index:     1025, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1797, cost =
 index:     1026, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1759, cost =
 index:     1027, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1778, cost =
 index:     1028, ( 108,   7): ( 108,   4) --> (1499,   1), goal index:     1801, cost =
 index:     1029, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1816, cost =
 index:     1030, ( 108,   7): ( 108,   4) --> (1499,   1), goal index:     1818, cost =
 index:     1031, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1819, cost =
 index:     1032, ( 107,   7): ( 107,   4) --> (1499,   1), goal index:     1765, cost =
 index:     1033, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1789, cost =
 index:     1034, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1806, cost =
 index:     1035, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1809, cost =
 index:     1036, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1812, cost =
 index:     1037, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1830, cost =
 index:     1038, ( 108,   7): ( 108,   4) --> (1499,   1), goal index:     1829, cost =
 index:     1039, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1841, cost =
 index:     1040, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1843, cost =
 index:     1041, ( 108,   7): ( 108,   4) --> (1499,   1), goal index:     1777, cost =
 index:     1042, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1802, cost =
 index:     1043, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1821, cost =
 index:     1044, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1826, cost =
 index:     1045, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1819, cost =
 index:     1046, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1779, cost =
 index:     1047, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1798, cost =
 index:     1048, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1819, cost =
 index:     1049, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1824, cost =
 index:     1050, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1825, cost =
 index:     1051, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1843, cost =
 index:     1052, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1842, cost =
 index:     1053, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1845, cost =
 index:     1054, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1845, cost =
 index:     1055, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1830, cost =
 index:     1056, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1847, cost =
 index:     1057, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1847, cost =
 index:     1058, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1792, cost =
 index:     1059, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1811, cost =
 index:     1060, ( 108,   7): ( 108,   4) --> (1499,   1), goal index:     1795, cost =
 index:     1061, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1820, cost =
 index:     1062, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1837, cost =
 index:     1063, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1833, cost =
 index:     1064, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1840, cost =
 index:     1065, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1845, cost =
 index:     1066, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1843, cost =
 index:     1067, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1860, cost =
 index:     1068, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1858, cost =
 index:     1069, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1862, cost =
 index:     1070, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1861, cost =
 index:     1071, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1847, cost =
 index:     1072, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1851, cost =
 index:     1073, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1809, cost =
 index:     1074, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1827, cost =
 index:     1075, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1810, cost =
 index:     1076, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1827, cost =
 index:     1077, ( 109,   7): ( 109,   4) --> (1499,   1), goal index:     1851, cost =
 index:     1078, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1865, cost =
 index:     1079, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1862, cost =
 index:     1080, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1857, cost =
 index:     1081, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1858, cost =
 index:     1082, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1876, cost =
 index:     1083, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1862, cost =
 index:     1084, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1878, cost =
 index:     1085, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1866, cost =
 index:     1086, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1881, cost =
 index:     1087, ( 108,   4): ( 108,   1) --> (1499,   1), goal index:     1897, cost =
 index:     1088, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1826, cost =
 index:     1089, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1824, cost =
 index:     1090, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1824, cost =
 index:     1091, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1841, cost =
 index:     1092, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1865, cost =
 index:     1093, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1881, cost =
 index:     1094, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1882, cost =
 index:     1095, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1887, cost =
 index:     1096, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1876, cost =
 index:     1097, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1871, cost =
 index:     1098, ( 109,  10): ( 109,   7) --> (1499,   1), goal index:     1878, cost =
 index:     1099, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1831, cost =
 index:     1100, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1856, cost =
 index:     1101, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1836, cost =
 index:     1102, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1861, cost =
 index:     1103, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1854, cost =
 index:     1104, ( 111,   7): ( 111,   4) --> (1499,   1), goal index:     1876, cost =
 index:     1105, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1896, cost =
 index:     1106, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1900, cost =
 index:     1107, ( 109,   7): ( 109,   4) --> (1499,   1), goal index:     1840, cost =
 index:     1108, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1864, cost =
 index:     1109, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1874, cost =
 index:     1110, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1890, cost =
 index:     1111, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1888, cost =
 index:     1112, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1905, cost =
 index:     1113, ( 111,   7): ( 111,   4) --> (1499,   1), goal index:     1851, cost =
 index:     1114, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1876, cost =
 index:     1115, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1892, cost =
 index:     1116, ( 110,  10): ( 110,   7) --> (1499,   1), goal index:     1854, cost =
 index:     1117, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1880, cost =
 index:     1118, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1896, cost =
 index:     1119, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1904, cost =
 index:     1120, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1893, cost =
 index:     1121, ( 111,   7): ( 111,   4) --> (1499,   1), goal index:     1910, cost =
 index:     1122, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1914, cost =
 index:     1123, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1921, cost =
 index:     1124, ( 111,   4): ( 111,   1) --> (1499,   1), goal index:     1933, cost =
 index:     1125, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1915, cost =
 index:     1126, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1916, cost =
 index:     1127, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1867, cost =
 index:     1128, ( 111,  10): ( 111,   7) --> (1499,   1), goal index:     1884, cost =
 index:     1129, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1868, cost =
 index:     1130, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1885, cost =
 index:     1131, ( 111,   7): ( 111,   4) --> (1499,   1), goal index:     1908, cost =
 index:     1132, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1924, cost =
 index:     1133, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1928, cost =
 index:     1134, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1934, cost =
 index:     1135, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1923, cost =
 index:     1136, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1925, cost =
 index:     1137, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1936, cost =
 index:     1138, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1923, cost =
 index:     1139, ( 111,   4): ( 111,   1) --> (1499,   1), goal index:     1926, cost =
 index:     1140, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1927, cost =
 index:     1141, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1924, cost =
 index:     1142, ( 111,   7): ( 111,   4) --> (1499,   1), goal index:     1884, cost =
 index:     1143, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1910, cost =
 index:     1144, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1929, cost =
 index:     1145, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1932, cost =
 index:     1146, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1925, cost =
 index:     1147, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1933, cost =
 index:     1148, ( 112,   7): ( 112,   4) --> (1499,   1), goal index:     1945, cost =
 index:     1149, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1957, cost =
 index:     1150, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1961, cost =
 index:     1151, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1965, cost =
 index:     1152, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1974, cost =
 index:     1153, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1937, cost =
 index:     1154, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1923, cost =
 index:     1155, ( 111,   4): ( 111,   1) --> (1499,   1), goal index:     1937, cost =
 index:     1156, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1903, cost =
 index:     1157, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1902, cost =
 index:     1158, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1919, cost =
 index:     1159, ( 112,   7): ( 112,   4) --> (1499,   1), goal index:     1942, cost =
 index:     1160, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1959, cost =
 index:     1161, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1945, cost =
 index:     1162, ( 112,   7): ( 112,   4) --> (1499,   1), goal index:     1961, cost =
 index:     1163, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1964, cost =
 index:     1164, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1964, cost =
 index:     1165, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1968, cost =
 index:     1166, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1954, cost =
 index:     1167, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1959, cost =
 index:     1168, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1969, cost =
 index:     1169, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1981, cost =
 index:     1170, ( 111,   4): ( 111,   1) --> (1499,   1), goal index:     1915, cost =
 index:     1171, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1940, cost =
 index:     1172, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1959, cost =
 index:     1173, ( 112,   7): ( 112,   4) --> (1499,   1), goal index:     1920, cost =
 index:     1174, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1948, cost =
 index:     1175, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1964, cost =
 index:     1176, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1961, cost =
 index:     1177, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1966, cost =
 index:     1178, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1977, cost =
 index:     1179, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1989, cost =
 index:     1180, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     1974, cost =
 index:     1181, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1992, cost =
 index:     1182, ( 112,  10): ( 112,   7) --> (1499,   1), goal index:     1992, cost =
 index:     1183, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1928, cost =
 index:     1184, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1947, cost =
 index:     1185, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1970, cost =
 index:     1186, ( 112,   7): ( 112,   4) --> (1499,   1), goal index:     1975, cost =
 index:     1187, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1993, cost =
 index:     1188, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1991, cost =
 index:     1189, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1991, cost =
 index:     1190, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1938, cost =
 index:     1191, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1957, cost =
 index:     1192, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1979, cost =
 index:     1193, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1996, cost =
 index:     1194, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1984, cost =
 index:     1195, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1984, cost =
 index:     1196, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1975, cost =
 index:     1197, ( 112,   7): ( 112,   4) --> (1499,   1), goal index:     1942, cost =
 index:     1198, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1968, cost =
 index:     1199, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1985, cost =
 index:     1200, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1984, cost =
 index:     1201, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1988, cost =
 index:     1202, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     1988, cost =
 index:     1203, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1996, cost =
 index:     1204, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1996, cost =
 index:     1205, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2011, cost =
 index:     1206, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     2009, cost =
 index:     1207, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1955, cost =
 index:     1208, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1977, cost =
 index:     1209, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     1996, cost =
 index:     1210, ( 113,  10): ( 113,   7) --> (1499,   1), goal index:     1995, cost =
 index:     1211, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1957, cost =
 index:     1212, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1975, cost =
 index:     1213, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1999, cost =
 index:     1214, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2014, cost =
 index:     1215, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2018, cost =
 index:     1216, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     2021, cost =
 index:     1217, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2003, cost =
 index:     1218, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2012, cost =
 index:     1219, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2009, cost =
 index:     1220, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2017, cost =
 index:     1221, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2015, cost =
 index:     1222, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     2026, cost =
 index:     1223, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     1970, cost =
 index:     1224, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1990, cost =
 index:     1225, ( 113,   7): ( 113,   4) --> (1499,   1), goal index:     1971, cost =
 index:     1226, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1998, cost =
 index:     1227, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2015, cost =
 index:     1228, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2014, cost =
 index:     1229, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2021, cost =
 index:     1230, ( 114,   7): ( 114,   4) --> (1499,   1), goal index:     2032, cost =
 index:     1231, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2044, cost =
 index:     1232, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2047, cost =
 index:     1233, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2014, cost =
 index:     1234, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2028, cost =
 index:     1235, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2026, cost =
 index:     1236, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2036, cost =
 index:     1237, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2023, cost =
 index:     1238, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     1987, cost =
 index:     1239, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     1987, cost =
 index:     1240, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2007, cost =
 index:     1241, ( 114,   7): ( 114,   4) --> (1499,   1), goal index:     2029, cost =
 index:     1242, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2045, cost =
 index:     1243, ( 114,   7): ( 114,   4) --> (1499,   1), goal index:     2033, cost =
 index:     1244, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2035, cost =
 index:     1245, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2035, cost =
 index:     1246, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2040, cost =
 index:     1247, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2038, cost =
 index:     1248, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2039, cost =
 index:     1249, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2044, cost =
 index:     1250, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2043, cost =
 index:     1251, ( 113,   4): ( 113,   1) --> (1499,   1), goal index:     2039, cost =
 index:     1252, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     1998, cost =
 index:     1253, ( 114,   7): ( 114,   4) --> (1499,   1), goal index:     2001, cost =
 index:     1254, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2027, cost =
 index:     1255, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2045, cost =
 index:     1256, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2044, cost =
 index:     1257, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2049, cost =
 index:     1258, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2065, cost =
 index:     1259, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2051, cost =
 index:     1260, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2047, cost =
 index:     1261, ( 114,  10): ( 114,   7) --> (1499,   1), goal index:     2048, cost =
 index:     1262, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2008, cost =
 index:     1263, ( 114,   7): ( 114,   4) --> (1499,   1), goal index:     2032, cost =
 index:     1264, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2035, cost =
 index:     1265, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2052, cost =
 index:     1266, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2015, cost =
 index:     1267, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2036, cost =
 index:     1268, ( 115,   7): ( 115,   4) --> (1499,   1), goal index:     2058, cost =
 index:     1269, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2074, cost =
 index:     1270, ( 117,  10): ( 117,   7) --> (1499,   1), goal index:     2064, cost =
 index:     1271, ( 115,  10): ( 115,   7) --> (1499,   1), goal index:     2050, cost =
 index:     1272, ( 114,   7): ( 114,   4) --> (1499,   1), goal index:     2021, cost =
 index:     1273, ( 116,  10): ( 116,   7) --> (1499,   1), goal index:     2047, cost =
